@relation experiment

@attribute dep_1 real
@attribute dep_2 real
@attribute dep_3 real
@attribute dep_4 real
@attribute dep_5 real
@attribute dep_6 real
@attribute dep_7 real
@attribute dep_8 real
@attribute dep_9 real
@attribute dep_10 real
@attribute class {n,p}

@data
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23895, 23484, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
23484, 23895, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23897, 24167, 23895, 23484, 23897, 24167, 23943, 23514, 23895, 23484, p
24167, 23897, 23895, 23484, 23897, 24167, 23943, 23514, 23895, 23484, n
23943, 23514, 23897, 24167, 23943, 23514, 23895, 23484, 23897, 24167, p
23514, 23943, 23897, 24167, 23943, 23514, 23895, 23484, 23897, 24167, n
23945, 24215, 23943, 23514, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23943, 23514, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23945, 24215, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
24215, 23945, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23895, 23484, 23945, 24215, 23895, 23484, 23897, 24167, 23945, 24215, p
23484, 23895, 23945, 24215, 23895, 23484, 23897, 24167, 23945, 24215, n
23897, 24167, 23895, 23484, 23897, 24167, 23945, 24215, 23895, 23484, p
24167, 23897, 23895, 23484, 23897, 24167, 23945, 24215, 23895, 23484, n
23943, 23514, 23897, 24167, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23897, 24167, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23895, 23484, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
23484, 23895, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23897, 24167, 23895, 23484, 23897, 24167, 23943, 23514, 23895, 23484, p
24167, 23897, 23895, 23484, 23897, 24167, 23943, 23514, 23895, 23484, n
23943, 23514, 23897, 24167, 23943, 23514, 23895, 23484, 23897, 24167, p
23514, 23943, 23897, 24167, 23943, 23514, 23895, 23484, 23897, 24167, n
23945, 24215, 23943, 23514, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23943, 23514, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
23895, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 23895, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
23897, 24167, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, p
24167, 23897, 23897, 24167, 23943, 23514, 23945, 24215, 23895, 23484, n
23943, 23514, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, p
23514, 23943, 23943, 23514, 23945, 24215, 23895, 23484, 23897, 24167, n
23945, 24215, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, p
24215, 23945, 23945, 24215, 23895, 23484, 23897, 24167, 23943, 23514, n
24167, 23484, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, p
23484, 24167, 23895, 23484, 23897, 24167, 23943, 23514, 23945, 24215, n
24169, 23895, 23897, 24167, 23943, 23514, 23945, 24215, 24167, 23484, p
23895, 24169, 23897, 24167, 23943, 23514, 23945, 24215, 24167, 23484, n
24215, 23514, 23943, 23514, 23945, 24215, 24167, 23484, 24169, 23895, p
23514, 24215, 23943, 23514, 23945, 24215, 24167, 23484, 24169, 23895, n
24217, 23943, 23945, 24215, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 23945, 24215, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24167, 23484, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
